,no.,time,source,destination,protocol,length,tcp_retransmission,SYN,ACK,Seq,Win,Len,MSS
159,160,1 days 22:41:18.672000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
160,161,1 days 22:41:26.102400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
161,162,1 days 22:41:30.768000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
162,163,1 days 22:41:35.260800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
163,164,1 days 22:41:39.753600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
164,165,1 days 22:41:44.246400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
165,166,1 days 22:41:48.739200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
166,167,1 days 22:41:53.232000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
167,168,1 days 22:41:58.761600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
168,169,1 days 22:42:04.291200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
169,170,1 days 22:42:09.820800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
170,171,1 days 22:42:15.436800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
171,172,1 days 22:42:20.966400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
172,173,1 days 22:42:26.582400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
173,174,1 days 22:42:32.371200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
174,175,1 days 22:42:38.332800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
175,176,1 days 22:42:43.862400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
176,177,1 days 22:42:49.478400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
177,178,1 days 22:42:59.241600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
178,179,1 days 22:43:04.771200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
179,180,1 days 22:43:10.300800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
180,181,1 days 22:43:15.830400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
181,182,1 days 22:43:21.360000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
182,183,1 days 22:43:26.889600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
183,184,1 days 22:43:32.678400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
184,185,1 days 22:43:38.467200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
185,186,2 days 00:07:39.216000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
186,187,2 days 00:07:46.387200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
187,188,2 days 00:07:52.003200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
188,189,2 days 00:07:57.532800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
189,190,2 days 00:08:03.062399999,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
190,191,2 days 00:08:08.678399999,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
191,192,2 days 00:08:14.380800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
192,193,2 days 00:08:19.910400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
193,194,2 days 00:08:25.353600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
194,195,2 days 00:08:30.883200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
195,196,2 days 00:08:36.412800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
196,197,2 days 00:08:41.596800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
197,198,2 days 00:08:47.040000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
198,199,2 days 00:08:52.569600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
199,200,2 days 00:08:58.099200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
200,201,2 days 01:41:14.611200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
201,202,2 days 01:41:22.560000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
202,203,2 days 01:41:28.176000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
203,204,2 days 01:41:33.792000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
204,205,2 days 01:41:39.408000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
205,206,2 days 01:41:44.937600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
206,207,2 days 01:41:50.899200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
207,208,2 days 01:41:56.428799999,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
208,209,2 days 01:42:02.304000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
209,210,2 days 01:42:07.833600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
210,211,2 days 01:42:13.449600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
211,212,2 days 01:42:19.929600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
212,213,2 days 01:42:25.459200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
213,214,2 days 01:42:30.988800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
214,215,2 days 01:42:36.518400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
215,216,2 days 01:42:43.516800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
216,217,2 days 01:42:48.355200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
217,218,2 days 01:42:55.094400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
218,219,2 days 01:43:01.833600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
219,220,2 days 01:43:07.881600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
220,221,2 days 01:43:13.584000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
221,222,2 days 01:43:19.372800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
222,223,2 days 01:43:25.507200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
223,224,2 days 01:43:31.036800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
224,225,2 days 01:43:36.566400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
225,226,2 days 01:43:42.096000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
226,227,2 days 03:07:37.920000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
227,228,2 days 03:07:43.881600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
228,229,2 days 03:07:49.411200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
229,230,2 days 03:07:55.027200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
